,0.25,0.5,0.75,1,1.25
A,0.8,0.8,0.8,0.8,0.8
B,1,1,1,1,1
C,1.2,1.2,1.1,1,1
D,1.6,1.4,1.2,1.2,1.1
E,2.5,1.7,1.2,0.9,0.9
F,a,a,a,a,a
