,0.1,0.2,0.3,0.4,0.5
A,0.8,0.8,0.8,0.8,0.8
B,1,1,1,1,1
C,1.7,1.6,1.5,1.4,1.3
D,2.4,2,1.8,1.6,1.5
E,3.5,3.2,2.8,2.4,2.4
F,a,a,a,a,a
